no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref_1,ref_5,ref_9,PERFORMANCE
1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,268.72
1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,267.8533333
1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,260.6366667
1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,773.4633333
1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,690.8733333
1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,783.7833333
1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,690.39
1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,783.5166667
1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,683.52
1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,683.5433333
1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,775.81
1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,775.68
1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,561.8466667
1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,244.4333333
1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,652.4833333
1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,556.63
1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,645.51
1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,561.9333333
1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,555.6333333
1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,651.64
1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,644.16
1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,561.97
1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,652.3733333
1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,561.3333333
1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,249.73
1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,651.2
1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,556.34
1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,555.18
1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,645.38
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,644.0333333
1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,612.97
1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,604.7466667
1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,612.6433333
1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,604.1233333
1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,511.1533333
1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,244.2766667
1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,510.8566667
1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,509.37
1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,509.0333333
1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,721.5633333
1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,712.9166667
1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,580.8766667
1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,576.41
1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,722.0366667
1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,580.6266667
1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,712.6366667
1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,249.44
1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,576.2766667
1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,587.7733333
1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,581.5133333
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,587.24
1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,581.1066667
1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,687.6
1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,687.1466667
1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,680.5566667
1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,680.4766667
1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,498.49
1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,287.0866667
1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,493.2766667
1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,561.96
1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,556.5133333
1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,497.99
1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,562.0666667
1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,492.9366667
1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,556.3066667
1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,741.59
1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,731.3533333
1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,741.2066667
1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,286.43
1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,731.2166667
1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,632.1266667
1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,632.0633333
1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,628.7566667
1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,628.4966667
1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,712.54
1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,705.3966667
1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,616.6866667
1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,610.9566667
1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,712.6666667
1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,275.9933333
1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,616.61
1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,705.2133333
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,610.6866667
1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,818.04
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,807.2733333
1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,817.34
1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,807.0
1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,780.93
1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,780.7566667
1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,773.3866667
1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,275.4166667
1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,773.22
1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,672.4133333
1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,666.5033333
1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,652.6533333
1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,645.54
1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,672.2133333
1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,652.4333333
1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,666.4933333
1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,645.3033333
1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,616.62
1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,291.66
1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,607.5366667
1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,616.0866667
1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,607.0333333
1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,510.1833333
1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,510.0166667
1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,508.34
1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,508.0033333
1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,726.79
1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,715.9933333
1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,580.5433333
1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,260.41
1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,279.7533333
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,575.7
1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,726.6433333
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,580.5766667
1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,715.9066667
1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,575.3966667
1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,744.8933333
1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,733.7766667
1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,744.26
1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,733.2166667
1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,821.5266667
1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,291.0433333
1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,821.7566667
1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,809.97
1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,809.5
1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,631.2833333
1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,627.5
1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,671.6966667
1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,665.2933333
1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,631.0533333
1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,671.5
1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,627.24
1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,279.1533333
1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,665.23
1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,590.18
1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,583.5266667
1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,589.74
1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,583.4266667
1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,497.3333333
1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,496.78
1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,492.13
1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,491.6966667
1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,715.25
1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,254.7066667
1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,706.8333333
1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,615.0933333
1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,609.2
1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,714.6666667
1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,615.06
1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,706.59
1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,608.68
1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,690.7166667
1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,683.7633333
1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,690.2166667
1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,254.0133333
1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,683.2566667
1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,783.8766667
1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,783.7766667
1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,775.6633333
1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,775.54
1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,561.7433333
1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,555.6133333
1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,651.49
1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,644.3566667
1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,561.42
1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,261.2066667
1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,651.2866667
1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,555.26
1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,643.9833333
1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,260.55
1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,287.0866667
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,291.61
1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,286.44
1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,259.9033333
1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,290.9166667
1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,244.3333333
1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,244.28
1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,276.0266667
1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,275.47
1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,249.6066667
1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,279.81
1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,249.41
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,279.2666667
1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,270.6566667
1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,275.92
1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,270.07
1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,278.1966667
1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,277.8133333
1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,262.5633333
1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,268.7866667
1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,262.2333333
1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,268.3966667
1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,270.7066667
1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,270.1533333
1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,262.5666667
1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,266.5266667
1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,262.29
1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,278.12
1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,268.8733333
1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,277.5333333
1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,268.2066667
1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,270.66
1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,270.1366667
1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,278.2266667
1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,277.8533333
1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,270.7266667
1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,275.3733333
1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,278.0766667
1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,270.0133333
1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,277.5633333
1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,262.6533333
1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,262.17
1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,262.53
1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,262.2766667
1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,268.7633333
1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,268.8833333
1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,268.3966667
1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,266.1133333
1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,268.2633333
1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,256.7266667
1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,256.3333333
1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,263.4366667
1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,262.7933333
1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,246.4866667
1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,251.87
1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,246.4
1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,251.5733333
1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,256.82
1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,268.7733333
1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,256.34
1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,246.5433333
1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,246.2733333
1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,263.2066667
1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,251.8233333
1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,262.6433333
1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,251.5866667
1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,256.6666667
1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,256.2733333
1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,263.2533333
1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,268.17
1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,262.61
1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,256.72
1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,263.0733333
1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,256.32
1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,262.51
1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,246.41
1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,246.2
1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,246.58
1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,246.2366667
1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,251.7866667
1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,276.03
1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,251.86
1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,251.53
1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,251.6366667
1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,305.4566667
1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,305.1733333
1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,310.6966667
1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,310.2866667
1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,295.49
1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,299.8133333
1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,295.4266667
1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,268.0166667
1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,275.69
1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,299.7066667
1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,305.4433333
1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,305.04
1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,295.61
1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,295.5033333
1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,310.7766667
1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,299.9066667
1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,310.3166667
1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,299.6266667
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,287.05
1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,268.6033333
1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,286.4266667
1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,291.59
1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,291.0666667
1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,287.1066667
1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,291.5766667
1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,286.4
1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,291.2
